ticker,price,avg_volume,name,gics_sector,sector_etf,in_sp500
NVDA,167.52,174662902,Nvidia,Information Technology,XLK,True
INTC,43.13,79025220,Intel,Information Technology,XLK,True
SMCI,21.97,67517415,Supermicro,Information Technology,XLK,True
TSLA,361.83,61185808,"Tesla, Inc.",Consumer Discretionary,XLY,True
MU,357.22,50927193,Micron Technology,Information Technology,XLK,True
PLTR,143.06,46010903,Palantir Technologies,Information Technology,XLK,True
AMZN,199.34,43498137,Amazon,Consumer Discretionary,XLY,True
AAPL,248.8,40499514,Apple Inc.,Information Technology,XLK,True
NFLX,93.43,39287833,Netflix,Communication Services,XLC,True
AMD,201.99,36929741,Advanced Micro Devices,Information Technology,XLK,True
T,29.1,36374244,AT&T,Communication Services,XLC,True
MSFT,356.77,35579524,Microsoft,Information Technology,XLK,True
PFE,27.04,34794927,Pfizer,Health Care,XLV,True
BAC,46.97,34585058,Bank of America,Financials,XLF,True
GOOGL,274.34,34044819,Alphabet Inc. (Class A),Communication Services,XLC,True
F,11.37,33865418,Ford Motor Company,Consumer Discretionary,XLY,True
CCL,24.19,29137335,Carnival,Consumer Discretionary,XLY,True
HPE,23.94,28007208,Hewlett Packard Enterprise,Information Technology,XLK,True
HOOD,66.02,26836115,Robinhood Markets,Financials,XLF,True
WBD,27.07,26708311,Warner Bros. Discovery,Communication Services,XLC,True
GOOG,273.76,25360908,Alphabet Inc. (Class C),Communication Services,XLC,True
CMCSA,28.33,24620806,Comcast,Communication Services,XLC,True
HBAN,15.08,24367851,Huntington Bancshares,Financials,XLF,True
VZ,50.31,23095717,Verizon,Communication Services,XLC,True
XOM,170.99,22686506,ExxonMobil,Energy,XLE,True
CSCO,79.92,22675417,Cisco,Information Technology,XLK,True
PCG,17.17,22206680,PG&E Corporation,Utilities,XLU,True
AVGO,300.68,21868210,Broadcom,Information Technology,XLK,True
SLB,53.5,20644697,Schlumberger,Energy,XLE,True
META,525.72,20343577,Meta Platforms,Communication Services,XLC,True
ORCL,139.66,19853224,Oracle Corporation,Information Technology,XLK,True
NCLH,18.49,18977518,Norwegian Cruise Line Holdings,Consumer Discretionary,XLY,True
SNDK,615.83,18696949,Sandisk,Information Technology,XLK,True
HPQ,19.44,18468995,HP Inc.,Information Technology,XLK,True
OXY,65.32,18169955,Occidental Petroleum,Energy,XLE,True
TTD,21.28,18075774,Trade Desk (The),Communication Services,XLC,True
WMT,122.89,17797915,Walmart,Consumer Staples,XLP,True
PYPL,43.59,17548457,PayPal,Financials,XLF,True
KVUE,17.52,17402292,Kenvue,Consumer Staples,XLP,True
FCX,56.24,16532718,Freeport-McMoRan,Materials,XLB,True
KHC,22.04,16338185,Kraft Heinz,Consumer Staples,XLP,True
WFC,77.19,16135318,Wells Fargo,Financials,XLF,True
RF,25.16,15827038,Regions Financial Corporation,Financials,XLF,True
C,107.38,15557221,Citigroup,Financials,XLF,True
DVN,52.07,15248353,Devon Energy,Energy,XLE,True
KMI,34.03,15230848,Kinder Morgan,Energy,XLE,True
CAG,15.62,14829080,Conagra Brands,Consumer Staples,XLP,True
AES,14.0,14698905,AES Corporation,Utilities,XLU,True
NOW,99.41,14320591,ServiceNow,Information Technology,XLK,True
KO,75.71,13835428,Coca-Cola Company (The),Consumer Staples,XLP,True
HAL,40.42,13673981,Halliburton,Energy,XLE,True
DAL,64.83,13540551,Delta Air Lines,Industrials,XLI,True
CMG,30.86,13315079,Chipotle Mexican Grill,Consumer Discretionary,XLY,True
UBER,69.18,13277359,Uber,Industrials,XLI,True
CVX,211.15,13252498,Chevron Corporation,Energy,XLE,True
GLW,136.81,13230370,Corning Inc.,Information Technology,XLK,True
NKE,51.37,13197859,"Nike, Inc.",Consumer Discretionary,XLY,True
CRM,179.31,13058476,Salesforce,Information Technology,XLK,True
COIN,161.14,13045967,Coinbase,Financials,XLF,True
DOW,40.82,12805948,Dow Inc.,Materials,XLB,True
BSX,69.17,12217119,Boston Scientific,Health Care,XLV,True
MOS,25.0,11815582,Mosaic Company (The),Materials,XLB,True
NEM,102.1,11803769,Newmont,Materials,XLB,True
KEY,19.45,11588788,KeyCorp,Financials,XLF,True
CSX,39.67,11565388,CSX Corporation,Industrials,XLI,True
DELL,171.81,11239444,Dell Technologies,Information Technology,XLK,True
APA,44.39,11186472,APA Corporation,Energy,XLE,True
MDLZ,58.27,10726253,Mondelez International,Consumer Staples,XLP,True
CPB,21.99,10711340,Campbell's Company (The),Consumer Staples,XLP,True
GIS,36.45,10105836,General Mills,Consumer Staples,XLP,True
JPM,282.84,10083176,JPMorgan Chase,Financials,XLF,True
BF-B,27.19,10075719,Brown–Forman,Consumer Staples,XLP,True
USB,50.85,10017679,U.S. Bancorp,Financials,XLF,True
KDP,26.23,9940318,Keurig Dr Pepper,Consumer Staples,XLP,True
PSKY,8.79,9744094,Paramount Skydance Corporation,Communication Services,XLC,True
FITB,44.54,9728566,Fifth Third Bancorp,Financials,XLF,True
DIS,92.42,9627650,Walt Disney Company (The),Communication Services,XLC,True
QCOM,127.11,9470824,Qualcomm,Information Technology,XLK,True
LRCX,211.41,9427799,Lam Research,Information Technology,XLK,True
BKR,63.22,9326233,Baker Hughes,Energy,XLE,True
COP,133.8,9170425,ConocoPhillips,Energy,XLE,True
BMY,58.54,9112204,Bristol Myers Squibb,Health Care,XLV,True
TFC,44.53,9057189,Truist Financial,Financials,XLF,True
APH,123.62,9042800,Amphenol,Information Technology,XLK,True
EL,67.23,8959677,Estée Lauder Companies (The),Consumer Staples,XLP,True
HST,18.84,8951643,Host Hotels & Resorts,Real Estate,XLRE,True
PG,142.71,8696589,Procter & Gamble,Consumer Staples,XLP,True
MO,66.48,8678009,Altria,Consumer Staples,XLP,True
ABT,103.99,8664089,Abbott Laboratories,Health Care,XLV,True
CTRA,36.31,8645242,Coterra,Energy,XLE,True
BAX,15.97,8522184,Baxter International,Health Care,XLV,True
MDT,87.14,8357359,Medtronic,Health Care,XLV,True
VICI,26.61,8138746,Vici Properties,Real Estate,XLRE,True
WDC,275.34,8077499,Western Digital,Information Technology,XLK,True
UNH,259.02,8024983,UnitedHealth Group,Health Care,XLV,True
NEE,91.4,7987196,NextEra Energy,Utilities,XLU,True
EQT,67.55,7927498,EQT Corporation,Energy,XLE,True
CNC,32.0,7913388,Centene Corporation,Health Care,XLV,True
SATS,115.21,7905978,EchoStar,Communication Services,XLC,True
DOC,16.59,7889506,Healthpeak Properties,Real Estate,XLRE,True
MRK,119.63,7863095,Merck & Co.,Health Care,XLV,True
UAL,88.44,7791122,United Airlines Holdings,Industrials,XLI,True
MCHP,62.0,7759756,Microchip Technology,Information Technology,XLK,True
